ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
,XLK,2005-12-30,16.95520000,16.95520000,16.83520000,16.86520000,1029900.00000000,16.86520000
,XLI,2005-12-30,23.23780000,23.35780000,23.22780000,23.25780000,806400.00000000,23.25780000
,XLE,2005-12-30,34.39320000,35.29320000,34.23320000,34.90320000,12112800.00000000,34.90320000
,XLB,2005-12-30,21.93470000,21.93470000,21.76470000,21.79470000,718200.00000000,21.79470000
,VTI,2005-12-30,46.43270000,46.58270000,46.32770000,46.44270000,1390200.00000000,46.44270000
,XLB,2005-12-29,21.96190000,22.16190000,21.89190000,21.98190000,923000.00000000,21.98190000
,VTI,2005-12-29,46.96090000,46.96590000,46.61590000,46.61590000,222600.00000000,46.61590000
,XLK,2005-12-29,17.13810000,17.17810000,16.96810000,16.97810000,1643700.00000000,16.97810000
,XLE,2005-12-29,35.05750000,35.62750000,34.70750000,34.75750000,12562100.00000000,34.75750000
,XLI,2005-12-29,23.44100000,23.59100000,23.39100000,23.39100000,392500.00000000,23.39100000
,XLI,2004-12-30,22.82580000,22.82580000,22.69580000,22.71580000,178800.00000000,22.71580000
,XLB,2004-12-30,21.15260000,21.15260000,20.96260000,20.98260000,533600.00000000,20.98260000
,XLK,2004-12-30,16.96080000,17.01080000,16.93080000,16.95080000,542800.00000000,16.95080000
,VTI,2004-12-30,43.82460000,43.95460000,43.77960000,43.79960000,163800.00000000,43.79960000
,XLE,2004-12-30,24.94730000,24.96730000,24.79730000,24.83730000,1155500.00000000,24.83730000
,XLK,2004-12-29,16.89270000,17.00270000,16.88270000,16.94270000,384900.00000000,16.94270000
,XLI,2004-12-29,22.89120000,22.89120000,22.62120000,22.70120000,101100.00000000,22.70120000
,XLE,2004-12-29,24.40700000,24.96700000,24.40700000,24.94700000,2106800.00000000,24.94700000
,VTI,2004-12-29,43.63660000,43.83660000,43.63660000,43.83660000,226200.00000000,43.83660000
,XLB,2004-12-29,21.14120000,21.14120000,20.96120000,21.08120000,389700.00000000,21.08120000
,XLK,2003-12-30,16.07940000,16.11940000,15.97940000,16.03940000,380000.00000000,16.03940000
,XLI,2003-12-30,19.52170000,19.52170000,19.17170000,19.20170000,495500.00000000,19.20170000
,VTI,2003-12-30,38.74650000,38.91650000,38.71650000,38.84650000,200800.00000000,38.84650000
,XLB,2003-12-30,18.69540000,18.74540000,18.35540000,18.48540000,1002900.00000000,18.48540000
,XLE,2003-12-30,18.68860000,18.89860000,18.60860000,18.71860000,509200.00000000,18.71860000
,VTI,2003-12-29,38.46330000,38.90830000,38.36330000,38.78830000,331600.00000000,38.78830000
,XLE,2003-12-29,18.39810000,18.69810000,18.29810000,18.67810000,555200.00000000,18.67810000
,XLK,2003-12-29,15.74290000,16.07290000,15.72290000,16.06290000,616900.00000000,16.06290000
,XLI,2003-12-29,19.17660000,19.31660000,19.07660000,19.31660000,244900.00000000,19.31660000
,XLB,2003-12-29,18.34600000,18.63600000,18.19600000,18.59600000,371400.00000000,18.59600000
,VTI,2002-12-30,29.58910000,29.68910000,29.13910000,29.56410000,2337800.00000000,29.56410000
,XLB,2002-12-30,13.37320000,13.42320000,13.14320000,13.37320000,594600.00000000,13.37320000
,XLE,2002-12-30,14.80990000,14.97990000,14.65990000,14.74990000,248100.00000000,14.74990000
,XLI,2002-12-30,14.74420000,14.74420000,14.20420000,14.44420000,373300.00000000,14.44420000
,XLK,2002-12-30,11.91150000,11.91150000,11.48150000,11.61150000,3716800.00000000,11.61150000
,XLK,2001-12-31,19.08790000,19.41790000,18.67790000,18.67790000,2013000.00000000,18.67790000
,XLI,2001-12-31,19.52830000,19.70830000,19.32830000,19.32830000,60600.00000000,19.32830000
,VTI,2001-12-31,38.03910000,38.03910000,37.25910000,37.25910000,137600.00000000,37.25910000
,XLE,2001-12-31,17.66910000,17.66910000,17.31910000,17.31910000,121000.00000000,17.31910000
,XLB,2001-12-31,14.46310000,14.68310000,14.18310000,14.18310000,1594000.00000000,14.18310000
,VTI,2001-12-28,37.82030000,37.98030000,37.68030000,37.77530000,220000.00000000,37.77530000
,XLB,2001-12-28,14.42180000,14.44180000,14.23180000,14.36180000,158700.00000000,14.36180000
,XLE,2001-12-28,17.46370000,17.73370000,17.38370000,17.51370000,408200.00000000,17.51370000
,XLI,2001-12-28,19.52250000,19.64250000,19.43250000,19.57250000,1280200.00000000,19.57250000
,XLK,2001-12-28,19.30370000,19.45370000,19.06370000,19.11370000,3130600.00000000,19.11370000
,XLE,2000-12-29,21.79580000,21.90510000,21.12390000,21.15510000,185400.00000000,21.15510000
,XLK,2000-12-29,25.49380000,25.55630000,24.11880000,24.36880000,3387700.00000000,24.36880000
,XLI,2000-12-29,21.82440000,22.13690000,21.60570000,21.60570000,15900.00000000,21.60570000
,XLB,2000-12-29,14.44830000,14.44830000,13.77640000,13.88580000,55900.00000000,13.88580000
